customer_id,country,city,join_date,segment,age_group,acquisition_channel
C00001,France,Marseille,2023-10-26,Regular,35-44,Social Media
C00002,Netherlands,Utrecht,2023-05-03,Regular,25-34,Social Media
C00003,Belgium,Antwerp,2023-02-07,New,55+,Referral
C00004,Germany,Berlin,2023-10-03,New,35-44,Paid Search
C00005,Switzerland,Zurich,2023-05-06,Regular,25-34,Email
C00006,Austria,Salzburg,2023-09-28,New,55+,Social Media
C00007,Germany,Hamburg,2023-05-16,New,18-24,Referral
C00008,Germany,Munich,2023-05-25,Regular,35-44,Paid Search
C00009,Austria,Salzburg,2023-09-08,Regular,18-24,Organic
C00010,France,Lyon,2023-01-23,New,25-34,Social Media
C00011,Germany,Cologne,2023-08-15,Regular,45-54,Referral
C00012,Germany,Berlin,2023-02-08,Churned,25-34,Referral
C00013,Germany,Stuttgart,2023-07-09,Regular,25-34,Email
C00014,Germany,Berlin,2023-06-07,Regular,18-24,Social Media
C00015,Netherlands,Rotterdam,2023-02-22,Regular,55+,Email
C00016,Germany,Hamburg,2023-03-25,Churned,25-34,Email
C00017,Germany,Hamburg,2023-06-20,VIP,45-54,Paid Search
C00018,Austria,Vienna,2023-02-25,Regular,18-24,Email
C00019,Netherlands,Rotterdam,2023-08-24,Regular,25-34,Paid Search
C00020,Germany,Cologne,2023-04-09,Regular,35-44,Organic
C00021,Austria,Graz,2023-09-18,Regular,55+,Social Media
C00022,Germany,Berlin,2023-05-14,New,35-44,Organic
C00023,Germany,Frankfurt,2023-08-11,Regular,35-44,Email
C00024,Germany,Bremen,2023-10-23,New,18-24,Email
C00025,Germany,Frankfurt,2023-10-03,Regular,25-34,Social Media
C00026,France,Paris,2023-06-19,Regular,18-24,Social Media
C00027,Austria,Salzburg,2023-07-29,Regular,35-44,Referral
C00028,Germany,Hamburg,2023-08-04,Regular,45-54,Paid Search
C00029,Austria,Graz,2023-10-08,VIP,35-44,Social Media
C00030,Netherlands,Eindhoven,2023-10-24,Regular,35-44,Email
C00031,Belgium,Antwerp,2023-04-20,Regular,25-34,Organic
C00032,Austria,Salzburg,2023-06-21,New,25-34,Social Media
C00033,Netherlands,Rotterdam,2023-03-17,New,25-34,Email
C00034,Germany,Bremen,2023-08-01,Churned,55+,Paid Search
C00035,France,Lyon,2023-07-24,New,18-24,Organic
C00036,France,Paris,2023-04-01,VIP,55+,Email
C00037,Germany,Frankfurt,2023-05-08,Churned,18-24,Email
C00038,Germany,Stuttgart,2023-08-26,Regular,55+,Referral
C00039,Switzerland,Geneva,2023-09-16,Regular,55+,Email
C00040,Germany,Cologne,2023-09-01,Regular,25-34,Social Media
C00041,Belgium,Ghent,2023-05-03,Regular,18-24,Social Media
