order_id,customer_id,order_date,order_month,quarter,status,channel,order_total,country,segment
ORD000001,C01861,2023-09-13,2023-09,Q3,Completed,Mobile App,483.68,Belgium,New
ORD000002,C01158,2023-08-29,2023-08,Q3,Completed,Phone,360.49,Germany,Regular
ORD000003,C01235,2023-03-21,2023-03,Q1,Completed,Mobile App,282.77,Switzerland,Regular
ORD000004,C00315,2023-08-02,2023-08,Q3,Completed,Website,314.14,Belgium,New
ORD000005,C01007,2023-05-25,2023-05,Q2,Completed,Marketplace,2276.34,Netherlands,Regular
ORD000006,C00908,2023-08-20,2023-08,Q3,Completed,Marketplace,186.15,Austria,Regular
ORD000007,C01977,2023-04-20,2023-04,Q2,Completed,Mobile App,57.9,Germany,VIP
ORD000008,C01227,2023-02-14,2023-02,Q1,Completed,Website,1562.9,Austria,Regular
ORD000009,C00688,2023-04-10,2023-04,Q2,Completed,Phone,161.77,Germany,VIP
ORD000010,C01343,2023-11-19,2023-11,Q4,Completed,Phone,841.06,France,New
ORD000011,C00596,2023-06-10,2023-06,Q2,Completed,Website,56.41,Switzerland,VIP
ORD000012,C00605,2023-12-24,2023-12,Q4,Completed,Mobile App,954.57,Germany,Regular
ORD000013,C01160,2023-12-02,2023-12,Q4,Completed,Marketplace,727.0,Austria,VIP
ORD000014,C01689,2023-03-26,2023-03,Q1,Completed,Mobile App,273.9,Germany,VIP
ORD000015,C01787,2023-12-30,2023-12,Q4,Completed,Mobile App,76.28,Germany,Regular
ORD000016,C01470,2023-08-05,2023-08,Q3,Completed,Mobile App,39.25,Netherlands,Regular
ORD000017,C01541,2023-04-30,2023-04,Q2,Completed,Marketplace,875.3,Germany,VIP
ORD000018,C00833,2023-08-07,2023-08,Q3,Completed,Phone,20.66,Germany,New
ORD000019,C00449,2023-11-12,2023-11,Q4,Completed,Phone,807.35,France,VIP
ORD000020,C00915,2023-12-14,2023-12,Q4,Completed,Phone,326.98,Germany,VIP
ORD000021,C01164,2023-07-22,2023-07,Q3,Completed,Mobile App,529.65,France,VIP
ORD000022,C00122,2023-10-19,2023-10,Q4,Completed,Mobile App,1350.0,Germany,Regular
ORD000023,C01349,2023-06-16,2023-06,Q2,Completed,Marketplace,116.74,France,VIP
ORD000024,C00020,2023-01-06,2023-01,Q1,Completed,Phone,57.7,Germany,Regular
ORD000025,C01607,2023-06-20,2023-06,Q2,Completed,Website,565.54,Germany,New
ORD000026,C00188,2023-02-23,2023-02,Q1,Completed,Website,150.64,Netherlands,VIP
ORD000027,C00382,2023-03-10,2023-03,Q1,Completed,Marketplace,211.96,Austria,VIP
ORD000028,C00212,2023-04-19,2023-04,Q2,Completed,Mobile App,50.56,Belgium,New
ORD000029,C00882,2023-12-14,2023-12,Q4,Cancelled,Mobile App,2335.4,Switzerland,New
ORD000030,C01313,2023-05-24,2023-05,Q2,Completed,Mobile App,940.73,Belgium,VIP
ORD000031,C00056,2023-05-01,2023-05,Q2,Completed,Marketplace,89.13,Belgium,Regular
ORD000032,C01146,2023-12-02,2023-12,Q4,Completed,Phone,175.37,France,Regular
ORD000033,C01348,2023-11-08,2023-11,Q4,Completed,Marketplace,112.91,Germany,Regular
ORD000034,C00923,2023-01-13,2023-01,Q1,Completed,Mobile App,508.69,Austria,Regular
ORD000035,C00670,2023-02-12,2023-02,Q1,Completed,Mobile App,68.83,Belgium,Regular
ORD000036,C01281,2023-12-10,2023-12,Q4,Completed,Mobile App,465.66,Germany,Regular
ORD000037,C01865,2023-06-29,2023-06,Q2,Completed,Mobile App,301.41,Austria,VIP
ORD000038,C00952,2023-03-09,2023-03,Q1,Completed,Mobile App,781.45,Austria,Regular
ORD000039,C01794,2023-02-06,2023-02,Q1,Completed,Marketplace,601.4,Germany,New
ORD000040,C00480,2023-05-31,2023-05,Q2,Completed,Phone,632.91,Switzerland,Regular
ORD000041,C01053,2023-10-20,2023-10,Q4,Completed,Website,374.82,Netherlands,Regular
ORD000042,C01153,2023-04-04,2023-04,Q2,Completed,Website,74.95,Austria,Regular
ORD000043,C01075,2023-04-22,2023-04,Q2,Completed,Website,36.19,Germany,Regular
ORD000044,C01639,2023-07-15,2023-07,Q3,Completed,Marketplace,1541.05,Germany,VIP
ORD000045,C01048,2023-04-29,2023-04,Q2,Completed,Phone,461.28,Netherlands,Regular
ORD000046,C00587,2023-11-29,2023-11,Q4,Completed,Marketplace,41.32,Netherlands,Regular
ORD000047,C00062,2023-01-20,2023-01,Q1,Completed,Phone,875.07,Switzerland,VIP
ORD000048,C00790,2023-01-10,2023-01,Q1,Completed,Phone,218.42,Germany,Regular
ORD000049,C00542,2023-05-18,2023-05,Q2,Completed,Mobile App,179.61,Belgium,Regular
ORD000050,C00444,2023-11-15,2023-11,Q4,Completed,Marketplace,1438.65,Germany,VIP
ORD000051,C00714,2023-12-27,2023-12,Q4,Cancelled,Marketplace,2261.97,Germany,Regular
ORD000052,C00688,2023-09-22,2023-09,Q3,Completed,Phone,575.13,Germany,VIP
ORD000053,C01518,2023-01-19,2023-01,Q1,Completed,Marketplace,34.55,Netherlands,Regular
ORD000054,C00785,2023-05-04,2023-05,Q2,Completed,Marketplace,528.29,Switzerland,VIP
