order_id,product_id,category,quantity,unit_price,discount,line_total
ORD000001,P0009,Electronics,1,236.37,0.15,200.91
ORD000001,P0002,Electronics,1,282.77,0.0,282.77
ORD000002,P0074,Sports,2,200.27,0.1,360.49
ORD000003,P0002,Electronics,1,282.77,0.0,282.77
ORD000004,P0050,Fashion,1,175.37,0.0,175.37
ORD000004,P0042,Fashion,1,113.53,0.05,107.85
ORD000004,P0095,Beauty,1,30.92,0.0,30.92
ORD000005,P0020,Electronics,2,781.45,0.0,1562.9
ORD000005,P0043,Fashion,2,83.9,0.0,167.8
ORD000005,P0061,Sports,2,272.82,0.0,545.64
ORD000006,P0053,Fashion,1,62.69,0.0,62.69
ORD000006,P0089,Beauty,3,20.66,0.05,58.88
ORD000006,P0036,Home & Garden,1,64.58,0.0,64.58
ORD000007,P0112,Books & Media,2,36.19,0.2,57.9
ORD000008,P0020,Electronics,2,781.45,0.0,1562.9
ORD000009,P0086,Beauty,1,112.91,0.0,112.91
ORD000009,P0093,Beauty,1,54.29,0.1,48.86
ORD000010,P0026,Home & Garden,1,101.99,0.0,101.99
ORD000010,P0006,Electronics,3,234.84,0.0,704.52
ORD000010,P0045,Fashion,1,34.55,0.0,34.55
ORD000011,P0096,Beauty,1,56.41,0.0,56.41
ORD000012,P0055,Fashion,2,92.6,0.0,185.2
ORD000012,P0015,Electronics,1,769.37,0.0,769.37
ORD000013,P0001,Electronics,1,592.51,0.1,533.26
ORD000013,P0036,Home & Garden,3,64.58,0.0,193.74
ORD000014,P0070,Sports,1,273.9,0.0,273.9
ORD000015,P0046,Fashion,1,37.54,0.0,37.54
ORD000015,P0024,Home & Garden,1,38.74,0.0,38.74
ORD000016,P0089,Beauty,2,20.66,0.05,39.25
ORD000017,P0070,Sports,1,273.9,0.0,273.9
ORD000017,P0008,Electronics,1,601.4,0.0,601.4
ORD000018,P0089,Beauty,1,20.66,0.0,20.66
ORD000019,P0004,Electronics,1,807.35,0.0,807.35
ORD000020,P0023,Home & Garden,1,33.75,0.0,33.75
ORD000020,P0101,Books & Media,1,58.39,0.0,58.39
ORD000020,P0006,Electronics,1,234.84,0.0,234.84
ORD000021,P0091,Beauty,1,90.2,0.1,81.18
ORD000021,P0076,Sports,1,348.42,0.05,331.0
ORD000021,P0085,Beauty,1,33.57,0.0,33.57
ORD000021,P0043,Fashion,1,83.9,0.0,83.9
ORD000022,P0003,Electronics,2,675.0,0.0,1350.0
ORD000023,P0111,Books & Media,2,58.37,0.0,116.74
ORD000024,P0104,Books & Media,2,28.85,0.0,57.7
ORD000025,P0002,Electronics,2,282.77,0.0,565.54
ORD000026,P0077,Sports,1,167.38,0.1,150.64
ORD000027,P0108,Books & Media,2,57.78,0.05,109.78
ORD000027,P0042,Fashion,1,113.53,0.1,102.18
ORD000028,P0084,Beauty,1,36.18,0.05,34.37
ORD000028,P0115,Books & Media,1,16.19,0.0,16.19
ORD000029,P0016,Electronics,3,735.06,0.1,1984.66
ORD000029,P0050,Fashion,2,175.37,0.0,350.74
ORD000030,P0076,Sports,3,348.42,0.1,940.73
ORD000031,P0035,Home & Garden,1,89.13,0.0,89.13
ORD000032,P0050,Fashion,1,175.37,0.0,175.37
ORD000033,P0086,Beauty,1,112.91,0.0,112.91
ORD000034,P0044,Fashion,1,179.61,0.05,170.63
ORD000034,P0038,Home & Garden,2,169.03,0.0,338.06
ORD000035,P0034,Home & Garden,1,68.83,0.0,68.83
ORD000036,P0047,Fashion,1,146.73,0.1,132.06
ORD000036,P0066,Sports,1,124.94,0.0,124.94
ORD000036,P0041,Fashion,2,109.82,0.05,208.66
ORD000037,P0110,Books & Media,2,16.05,0.2,25.68
ORD000037,P0058,Fashion,1,166.02,0.0,166.02
ORD000037,P0052,Fashion,1,129.07,0.15,109.71
ORD000038,P0020,Electronics,1,781.45,0.0,781.45
ORD000039,P0008,Electronics,1,601.4,0.0,601.4
ORD000040,P0069,Sports,1,47.49,0.1,42.74
ORD000040,P0091,Beauty,1,90.2,0.1,81.18
ORD000040,P0002,Electronics,2,282.77,0.1,508.99
ORD000041,P0066,Sports,3,124.94,0.0,374.82
ORD000042,P0089,Beauty,1,20.66,0.0,20.66
ORD000042,P0119,Books & Media,1,54.29,0.0,54.29
ORD000043,P0112,Books & Media,1,36.19,0.0,36.19
ORD000044,P0010,Electronics,2,737.02,0.0,1474.04
ORD000044,P0099,Beauty,1,70.54,0.05,67.01
ORD000045,P0099,Beauty,2,70.54,0.2,112.86
ORD000045,P0076,Sports,1,348.42,0.0,348.42
ORD000046,P0089,Beauty,2,20.66,0.0,41.32
ORD000047,P0015,Electronics,1,769.37,0.0,769.37
ORD000047,P0060,Fashion,1,117.44,0.1,105.7
ORD000048,P0039,Home & Garden,1,229.92,0.05,218.42
ORD000049,P0044,Fashion,1,179.61,0.0,179.61
ORD000050,P0017,Electronics,3,504.79,0.05,1438.65
ORD000051,P0019,Electronics,3,753.99,0.0,2261.97
ORD000052,P0082,Beauty,2,35.18,0.05,66.84
ORD000052,P0059,Fashion,1,67.75,0.05,64.36
ORD000052,P0115,Books & Media,1,16.19,0.15,13.76
ORD000052,P0062,Sports,1,278.05,0.05,264.15
ORD000052,P0058,Fashion,1,166.02,0.0,166.02
ORD000053,P0045,Fashion,1,34.55,0.0,34.55
ORD000054,P0062,Sports,2,278.05,0.05,528.29
ORD000055,P0085,Beauty,3,33.57,0.05,95.67
ORD000056,P0088,Beauty,1,98.82,0.0,98.82
ORD000057,P0047,Fashion,1,146.73,0.15,124.72
ORD000058,P0015,Electronics,2,769.37,0.1,1384.87
ORD000058,P0020,Electronics,1,781.45,0.0,781.45
ORD000059,P0073,Sports,1,162.52,0.05,154.39
ORD000059,P0071,Sports,1,179.47,0.0,179.47
ORD000059,P0063,Sports,1,25.19,0.0,25.19
ORD000060,P0008,Electronics,1,601.4,0.0,601.4
ORD000060,P0029,Home & Garden,2,55.22,0.0,110.44
ORD000060,P0059,Fashion,1,67.75,0.2,54.2
ORD000060,P0022,Home & Garden,1,68.56,0.05,65.13
ORD000061,P0070,Sports,1,273.9,0.0,273.9
ORD000061,P0109,Books & Media,1,36.9,0.0,36.9
ORD000062,P0040,Home & Garden,2,77.25,0.0,154.5
ORD000063,P0107,Books & Media,1,31.66,0.0,31.66
ORD000063,P0055,Fashion,3,92.6,0.0,277.8
ORD000063,P0008,Electronics,1,601.4,0.2,481.12
ORD000064,P0005,Electronics,2,407.63,0.0,815.26
ORD000064,P0056,Fashion,2,160.14,0.05,304.27
ORD000064,P0022,Home & Garden,1,68.56,0.0,68.56
ORD000065,P0071,Sports,3,179.47,0.05,511.49
ORD000065,P0008,Electronics,1,601.4,0.1,541.26
ORD000065,P0035,Home & Garden,1,89.13,0.1,80.22
ORD000066,P0063,Sports,1,25.19,0.15,21.41
ORD000067,P0058,Fashion,2,166.02,0.0,332.04
ORD000067,P0060,Fashion,1,117.44,0.0,117.44
ORD000068,P0042,Fashion,2,113.53,0.05,215.71
ORD000068,P0039,Home & Garden,1,229.92,0.0,229.92
ORD000069,P0112,Books & Media,1,36.19,0.15,30.76
ORD000070,P0070,Sports,1,273.9,0.0,273.9
ORD000070,P0001,Electronics,1,592.51,0.05,562.88
ORD000071,P0034,Home & Garden,2,68.83,0.0,137.66
ORD000071,P0119,Books & Media,1,54.29,0.1,48.86
ORD000072,P0053,Fashion,1,62.69,0.05,59.56
ORD000072,P0015,Electronics,1,769.37,0.0,769.37
ORD000073,P0039,Home & Garden,1,229.92,0.05,218.42
ORD000074,P0001,Electronics,1,592.51,0.0,592.51
ORD000074,P0045,Fashion,1,34.55,0.05,32.82
ORD000074,P0058,Fashion,1,166.02,0.0,166.02
ORD000075,P0001,Electronics,1,592.51,0.0,592.51
ORD000075,P0091,Beauty,2,90.2,0.05,171.38
ORD000075,P0067,Sports,1,310.35,0.0,310.35
ORD000076,P0079,Sports,1,134.88,0.05,128.14
ORD000077,P0002,Electronics,1,282.77,0.0,282.77
ORD000077,P0091,Beauty,2,90.2,0.0,180.4
ORD000078,P0031,Home & Garden,1,247.54,0.0,247.54
ORD000078,P0060,Fashion,1,117.44,0.05,111.57
ORD000079,P0068,Sports,3,52.84,0.05,150.59
ORD000079,P0017,Electronics,2,504.79,0.1,908.62
ORD000079,P0120,Books & Media,1,38.91,0.15,33.07
ORD000080,P0022,Home & Garden,2,68.56,0.0,137.12
ORD000080,P0023,Home & Garden,3,33.75,0.0,101.25
ORD000080,P0060,Fashion,1,117.44,0.05,111.57
ORD000081,P0003,Electronics,1,675.0,0.05,641.25
ORD000081,P0033,Home & Garden,1,213.07,0.2,170.46
ORD000081,P0026,Home & Garden,1,101.99,0.05,96.89
ORD000082,P0060,Fashion,1,117.44,0.0,117.44
ORD000082,P0010,Electronics,1,737.02,0.15,626.47
ORD000082,P0017,Electronics,1,504.79,0.2,403.83
ORD000082,P0029,Home & Garden,2,55.22,0.1,99.4
ORD000082,P0060,Fashion,2,117.44,0.05,223.14
ORD000083,P0099,Beauty,1,70.54,0.1,63.49
ORD000083,P0070,Sports,2,273.9,0.05,520.41
ORD000084,P0068,Sports,2,52.84,0.0,105.68
ORD000084,P0030,Home & Garden,1,53.4,0.0,53.4
ORD000085,P0043,Fashion,2,83.9,0.05,159.41
ORD000085,P0044,Fashion,3,179.61,0.1,484.95
ORD000085,P0071,Sports,1,179.47,0.1,161.52
ORD000086,P0092,Beauty,1,118.26,0.15,100.52
ORD000086,P0047,Fashion,2,146.73,0.05,278.79
ORD000086,P0036,Home & Garden,1,64.58,0.05,61.35
ORD000087,P0032,Home & Garden,1,145.88,0.0,145.88
ORD000087,P0002,Electronics,2,282.77,0.05,537.26
ORD000088,P0064,Sports,1,31.33,0.0,31.33
ORD000088,P0043,Fashion,1,83.9,0.15,71.32
ORD000088,P0019,Electronics,1,753.99,0.0,753.99
ORD000088,P0001,Electronics,1,592.51,0.0,592.51
ORD000089,P0111,Books & Media,1,58.37,0.1,52.53
ORD000090,P0004,Electronics,1,807.35,0.1,726.62
ORD000091,P0015,Electronics,3,769.37,0.1,2077.3
ORD000092,P0044,Fashion,1,179.61,0.0,179.61
ORD000092,P0110,Books & Media,1,16.05,0.2,12.84
ORD000093,P0089,Beauty,1,20.66,0.2,16.53
ORD000094,P0104,Books & Media,2,28.85,0.15,49.04
ORD000095,P0003,Electronics,1,675.0,0.1,607.5
ORD000096,P0043,Fashion,1,83.9,0.1,75.51
ORD000097,P0028,Home & Garden,2,167.29,0.0,334.58
ORD000097,P0026,Home & Garden,2,101.99,0.15,173.38
ORD000097,P0099,Beauty,1,70.54,0.0,70.54
ORD000097,P0025,Home & Garden,1,164.39,0.0,164.39
ORD000098,P0004,Electronics,3,807.35,0.0,2422.05
ORD000099,P0063,Sports,1,25.19,0.05,23.93
ORD000100,P0018,Electronics,1,370.75,0.0,370.75
ORD000101,P0021,Home & Garden,1,180.57,0.0,180.57
ORD000101,P0064,Sports,3,31.33,0.0,93.99
ORD000101,P0059,Fashion,2,67.75,0.0,135.5
ORD000102,P0098,Beauty,3,58.74,0.0,176.22
ORD000102,P0066,Sports,1,124.94,0.1,112.45
ORD000102,P0090,Beauty,1,56.59,0.0,56.59
ORD000103,P0006,Electronics,1,234.84,0.0,234.84
ORD000103,P0069,Sports,1,47.49,0.1,42.74
ORD000104,P0011,Electronics,1,733.95,0.15,623.86
ORD000104,P0038,Home & Garden,1,169.03,0.0,169.03
ORD000104,P0058,Fashion,3,166.02,0.0,498.06
ORD000104,P0011,Electronics,2,733.95,0.0,1467.9
ORD000104,P0044,Fashion,1,179.61,0.15,152.67
ORD000105,P0004,Electronics,2,807.35,0.05,1533.96
ORD000105,P0088,Beauty,1,98.82,0.0,98.82
ORD000105,P0047,Fashion,1,146.73,0.0,146.73
ORD000106,P0100,Beauty,1,119.92,0.1,107.93
ORD000106,P0002,Electronics,1,282.77,0.2,226.22
ORD000106,P0110,Books & Media,3,16.05,0.0,48.15
ORD000107,P0067,Sports,1,310.35,0.0,310.35
ORD000108,P0084,Beauty,2,36.18,0.05,68.74
ORD000108,P0106,Books & Media,1,21.79,0.0,21.79
ORD000108,P0022,Home & Garden,2,68.56,0.0,137.12
ORD000109,P0051,Fashion,1,21.84,0.0,21.84
ORD000109,P0079,Sports,1,134.88,0.0,134.88
ORD000110,P0055,Fashion,2,92.6,0.0,185.2
ORD000111,P0051,Fashion,1,21.84,0.15,18.56
ORD000112,P0072,Sports,1,111.14,0.05,105.58
ORD000112,P0105,Books & Media,1,27.71,0.0,27.71
ORD000112,P0076,Sports,1,348.42,0.05,331.0
ORD000113,P0110,Books & Media,1,16.05,0.0,16.05
ORD000113,P0069,Sports,2,47.49,0.05,90.23
